hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
02000000,2015,Noria,Region 1,-107757,protected well,998,98,male,0,dirty,natural,-99,0.000000,1
02000001,2015,Noria,Region 2,5596,unprotected well,23,29,male,0,cement,finished,2,0.500000,2
02000002,2015,Noria,Region 3,-98558,protected well,35,30,male,0,dirt,natural,2,0.333333,3
02000003,2015,Noria,Region 4,150030,public tap,25,18,female,1,cement,finished,3,0.000000,4
02000004,2015,Noria,Region 1,-121224,unprotected well,16,43,male,0,dirt,natural,3,0.000000,1
02000005,2015,Noria,Region 2,3749,public tap,14,62,male,0,cement,finished,2,1.000000,2
02000006,2015,Noria,Region 3,-9761,"river, dam, lake, pond, stream, canal or irrigation channel",36,53,female,1,cement,finished,4,0.666667,3
02000007,2015,Noria,Region 4,152866,piped on premises,996,67,male,1,cement,finished,4,0.750000,4
02000008,2015,Noria,Region 1,-89919,unprotected well,53,51,male,1,dirt,natural,3,0.000000,1
02000009,2015,Noria,Region 2,-20610,public tap,27,33,male,1,cement,finished,2,0.500000,2
02000010,2015,Noria,Region 3,-148524,"river, dam, lake, pond, stream, canal or irrigation channel",40,21,male,0,dirt,natural,4,0.666667,3
02000011,2015,Noria,Region 4,-178228,public tap,39,24,female,0,dirt,natural,2,0.500000,4
02000012,2015,Noria,Region 1,-118111,unprotected well,31,51,male,0,dirt,natural,2,1.000000,1
02000013,2015,Noria,Region 2,-82852,unprotected well,29,51,male,0,dirt,natural,1,0.500000,2
02000014,2015,Noria,Region 3,-77660,unprotected well,18,60,male,0,dirt,natural,3,0.666667,3
02000015,2015,Noria,Region 4,-60165,protected well,39,42,male,0,dirt,natural,2,0.500000,4
02000016,2015,Noria,Region 1,-101742,"river, dam, lake, pond, stream, canal or irrigation channel",25,43,male,0,dirt,natural,3,1.000000,1
02000017,2015,Noria,Region 2,52694,piped on premises,996,57,male,1,cement,finished,3,0.500000,2
02000018,2015,Noria,Region 3,-90646,protected well,10,71,male,0,dirt,natural,3,0.333333,3
02000019,2015,Noria,Region 4,-168036,protected well,49,48,male,0,dirt,natural,2,0.750000,4
02000020,2015,Noria,Region 1,46046,unprotected well,51,62,male,1,cement,finished,1,0.000000,1
02000021,2015,Noria,Region 2,36629,public tap,20,43,male,1,cement,finished,4,0.000000,2
02000022,2015,Noria,Region 3,115143,piped on premises,996,60,female,1,cement,finished,5,0.666667,3
02000023,2015,Noria,Region 4,-113843,unprotected well,43,56,female,0,dirt,natural,2,0.250000,4
02000024,2015,Noria,Region 1,-177956,"river, dam, lake, pond, stream, canal or irrigation channel",26,22,female,0,dirt,natural,2,0.000000,1
02000025,2015,Noria,Region 2,-133399,protected well,44,38,female,0,dirt,natural,3,0.000000,2
02000026,2015,Noria,Region 3,-179920,unprotected well,33,56,male,0,dirt,natural,0,0.333333,3
02000027,2015,Noria,Region 4,118478,public tap,43,20,male,1,cement,finished,1,0.250000,4
02000028,2015,Noria,Region 1,40582,protected well,26,61,male,1,cement,finished,2,0.000000,1
02000029,2015,Noria,Region 2,-93339,protected well,29,34,male,0,dirt,natural,2,0.000000,2
02000030,2015,Noria,Region 3,124040,public tap,32,56,male,1,cement,finished,2,0.000000,3
02000031,2015,Noria,Region 4,-110109,protected well,40,64,female,0,dirt,natural,4,0.500000,4
02000032,2015,Noria,Region 1,48502,piped on premises,996,34,female,1,cement,finished,3,0.000000,1
02000033,2015,Noria,Region 2,-67401,protected well,31,44,male,0,dirt,natural,1,0.000000,2
02000034,2015,Noria,Region 3,133559,piped on premises,996,22,male,1,cement,finished,3,0.000000,3
02000035,2015,Noria,Region 4,-188656,unprotected well,29,46,male,0,dirt,natural,2,0.750000,4
02000036,2015,Noria,Region 1,-68176,unprotected well,41,45,male,0,dirt,natural,3,1.000000,1
02000037,2015,Noria,Region 2,-32399,protected well,19,35,male,0,dirt,finished,2,1.000000,2
02000038,2015,Noria,Region 3,-87716,piped on premises,996,49,male,0,dirt,natural,3,0.333333,3
02000039,2015,Noria,Region 4,-73218,unprotected well,42,44,female,0,dirt,natural,4,0.000000,4
02000040,2015,Noria,Region 1,-80342,unprotected well,13,18,male,0,dirt,natural,3,1.000000,1
02000041,2015,Noria,Region 2,-140202,public tap,998,45,male,0,dirt,natural,4,1.000000,2
